,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,cpv_clean
12,010369-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Research Study on Technology Foresight on Biometrics for the Future of Travel,Services,,500 000.00 EUR,73000000 Research and development services and related consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010369-2021:TEXT:EN:HTML&src=0,500000.0,Research and development services and related consultancy services
13,008683-2021,2021,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Maritime Surveillance Aerostat 2 Technology Pilot,Services,,3 009 000.00 EUR,79714000 Surveillance services,Quality criterion - Name: Technical score / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:008683-2021:TEXT:EN:HTML&src=0,3009000.0,Surveillance services
15,572784-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Meteorological and Oceanographic Services,Services,,5 000 000.00 EUR,71351610 Meteorology services,Quality criterion - Name: Project and service management / Weighting: 20,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:572784-2021:TEXT:EN:HTML&src=0,5000000.0,Meteorology services
16,572781-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Supply of Drug and Explosive Detectors,Supplies,,300 000.00 EUR,38544000 Drug detection apparatus,"Quality criterion - Name: Optional technical requirement, additional warranty, delivery time / Weighting: 40",Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:572781-2021:TEXT:EN:HTML&src=0,300000.0,Drug detection apparatus
17,549089-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Defence,"Framework Contract (FWC) for the Supply of Service Weapons (Compact 9x19 mm Semi-Automatic Pistol), Ammunition and Accessories",Supplies,,3 760 000.00 EUR,"35300000 Weapons, ammunition and associated parts",Quality criterion - Name: Quality / Weighting: 50 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:549089-2021:TEXT:EN:HTML&src=0,3760000.0,"Weapons, ammunition and associated parts"
18,548978-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Defence,"Framework Contract (FWC) for the supply of service weapons (compact 9x19 mm semi-automatic pistol), ammunition and accessories",Supplies,,1 240 000.00 EUR,"35300000 Weapons, ammunition and associated parts",Quality criterion - Name: Quality / Weighting: 50 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:548978-2021:TEXT:EN:HTML&src=0,1240000.0,"Weapons, ammunition and associated parts"
19,545963-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Services for Business Content Development Related to the Data Management and Analytics Software Used by FRONTEX,Services,,4 000 000.00 EUR,72300000 Data services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:545963-2021:TEXT:EN:HTML&src=0,4000000.0,Data services
20,545961-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Defence,Purchase of Service Uniforms,Supplies,,20 000 000.00 EUR,"18100000 Occupational clothing, special workwear and accessories",Quality criterion - Name: Technical quality / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:545961-2021:TEXT:EN:HTML&src=0,20000000.0,Miscellaneous
21,520856-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Facility Management-Related Services,Services,,1 500 000.00 EUR,70330000 Property management services of real estate on a fee or contract basis,Quality criterion - Name: Technical merit / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:520856-2021:TEXT:EN:HTML&src=0,1500000.0,Property management services of real estate on a fee or contract basis
22,520855-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Cleaning Services for FRONTEX,Services,,600 000.00 EUR,"90000000 Sewage, refuse, cleaning and environmental services",Quality criterion - Name: Technical criteria indicated in the Tender Specifications / Weighting: 0.7,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520855-2021:TEXT:EN:HTML&src=0,600000.0,Repair and maintenance
23,520854-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of FRONTEX Corporate Calendars,Supplies,,250 000.00 EUR,22000000 Printed matter and related products,Quality criterion - Name: Technical award criteria indicated in the Tender Specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520854-2021:TEXT:EN:HTML&src=0,250000.0,Office supplies
24,415069-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Defence,FWC for Provision of SARS-CoV-2 Testing and Close Contacts Tracing,Services,,6 306 000.00 EUR,85140000 Miscellaneous health services,Quality criterion - Name: Quality / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:415069-2021:TEXT:EN:HTML&src=0,6306000.0,Miscellaneous health services
25,395424-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Frontex Surveillance Aircraft Services for Border and Coast Guard Functions (FSA I),Services,,53 600 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: Compliance to technical requirements / Weighting: 100,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:395424-2021:TEXT:EN:HTML&src=0,53600000.0,Transport services
26,395423-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Frontex Surveillance Aircraft Services for Border and Coast Guard Functions (FSA I),Services,,30 900 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: Compliance to technical requirements / Weighting: 100,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:395423-2021:TEXT:EN:HTML&src=0,30900000.0,Transport services
29,330048-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,FWC for Map Production Services,Services,,4 000 000.00 EUR,79900000 Miscellaneous business and business-related services,Quality criterion - Name: As stated in the procurement documents / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:330048-2021:TEXT:EN:HTML&src=0,4000000.0,Business services
31,295695-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Development of ICT Software Solution for EBCG Team Members Access to Schengen Information System (A2SISII),Services,,5 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support","Quality criterion - Name: Maintenance approach, software development and configuration management and testing approach, software development methodology, risks management, schedules. / Weighting: 60",Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:295695-2021:TEXT:EN:HTML&src=0,5000000.0,Software
32,719505-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,"Framework Contract for Provision of Mobile Solutions (Office, Storage, and Toilet Containers) and Associated Services",Services,,8 000 000.00 EUR,51800000 Installation services of metal containers,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:719505-2022:TEXT:EN:HTML&src=0,8000000.0,Installation services of metal containers
33,712796-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Cleaning Services to FRONTEX,Services,,2 800 000.00 EUR,90900000 Cleaning and sanitation services,"Quality criterion - Name: Technical quality criteria / Weighting: 0,7",Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:712796-2022:TEXT:EN:HTML&src=0,2800000.0,Cleaning and sanitation services
34,696738-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Remotely Piloted Aircraft Systems (RPAS) for Medium Altitude Long Endurance Maritime Aerial Surveillance,Services,,75 000 000.00 EUR,60440000 Aerial and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:696738-2022:TEXT:EN:HTML&src=0,75000000.0,Transport services
35,695131-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Purchase of Binoculars,Supplies,,800 000.00 EUR,38631000 Binoculars,Quality criterion - Name: Technical score / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:695131-2022:TEXT:EN:HTML&src=0,800000.0,Miscellaneous
36,667821-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Maintenance and Consultancy Services for FRONTEX Media/Digital Assets Management System (LENS),Services,,385 025.00 EUR,72253000 Helpdesk and support services,"Quality criterion - Name: The contract shall be recommended to be awarded to the tenderer, which total scoring will be equal to or higher than the minimum 60 % of maximum number of the technical quality points. / Weighting: 1.00",Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:667821-2022:TEXT:EN:HTML&src=0,385025.0,Helpdesk and support services
38,652222-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Organisation of Events Outside of Poland,Services,,14 000 000.00 EUR,55120000 Hotel meeting and conference services,Quality criterion - Name: Technical quality / Weighting: 0.70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:652222-2022:TEXT:EN:HTML&src=0,14000000.0,Hotel and restaurant services
40,633548-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Meteorological and Oceanographic Services – Operational Support for Airborne and Sea Operations,Services,,2 400 000.00 EUR,71351600 Weather-forecasting services,Quality criterion - Name: Technical award criteria / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:633548-2022:TEXT:EN:HTML&src=0,2400000.0,Weather-forecasting services
42,542412-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,"Purchase of Duty Belts, Accessories, and Batons",Supplies,,2 000 000.00 EUR,18420000 Clothing accessories,Quality criterion - Name: Technical quality / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:542412-2022:TEXT:EN:HTML&src=0,2000000.0,Clothing accessories
43,536864-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,"Delivery of Training on First-aid, Occupational Health and Safety, and Tactical Emergency Casualty Care",Services,,992 000.00 EUR,80560000 Health and first-aid training services,Quality criterion - Name: Technical quality / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:536864-2022:TEXT:EN:HTML&src=0,992000.0,Health and first-aid training services
45,522543-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Defence,Framework Contract for the Provision of Professional Insurance Brokerage Services,Services,,3 525 192.00 EUR,66518100 Insurance brokerage services,Quality criterion - Name: Quality / Weighting: 50 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:522543-2022:TEXT:EN:HTML&src=0,3525192.0,Insurance brokerage services
47,494348-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Interpretation and Cultural Mediation Services for Operational Activities,Services,,52 000 000.00 EUR,79540000 Interpretation services,Quality criterion - Name: As announced in procurement documents (Point III.5.1 of Annex I ‘Tender Specifications’) / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:494348-2022:TEXT:EN:HTML&src=0,52000000.0,Interpretation services
48,438806-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Short Notice Chartering of Aircraft for FRONTEX Operational Activities,Services,,15 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:438806-2022:TEXT:EN:HTML&src=0,15000000.0,Travel agencies
49,431012-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Psychological Services for FRONTEX,Services,,13 000 000.00 EUR,85121270 Psychiatrist or psychologist services,Quality criterion - Name: Technical award criteria indicated in tender specifications / Weighting: 0.7,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:431012-2022:TEXT:EN:HTML&src=0,13000000.0,Psychiatrist or psychologist services
50,431011-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Business Consultancy and Expertise Related to EUROSUR,Services,,6 000 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:431011-2022:TEXT:EN:HTML&src=0,6000000.0,Business services
51,422295-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Returns by Scheduled Flights Supported by FRONTEX,Services,,15 000 000.00 EUR,"63500000 Travel agency, tour operator and tourist assistance services","Quality criterion - Name: For original contract only: technical award criteria indicated in the tender specifications / Weighting: 0,6",Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:422295-2022:TEXT:EN:HTML&src=0,15000000.0,Travel agencies
52,422291-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Provision of FRONTEX Branded Items,Supplies,,450 000.00 EUR,39294100 Information and promotion products,Quality criterion - Name: Technical quality / Weighting: 0.70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:422291-2022:TEXT:EN:HTML&src=0,450000.0,Information and promotion products
53,410964-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Public order and safety,"Framework Contract for the Provision of Mobile Office and Toilet Containers with Associated Services in Cyprus, Montenegro, Ukraine, Albania and Serbia",Services,,995 000.00 EUR,51800000 Installation services of metal containers,Quality criterion - Name: Quality - for details see the tender specifications / Weighting: 40,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410964-2022:TEXT:EN:HTML&src=0,995000.0,Installation services of metal containers
54,410962-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,Public order and safety,"Framework Contract for the Provision of Mobile Office and Toilet Containers with Associated Services in Cyprus, Montenegro, Ukraine, Albania and Serbia",Services,,250 000.00 EUR,51800000 Installation services of metal containers,Quality criterion - Name: Quality - for details please see the tender dossier / Weighting: 40,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410962-2022:TEXT:EN:HTML&src=0,250000.0,Installation services of metal containers
56,390789-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Psychological Services for FRONTEX,Services,,12 500 000.00 EUR,85121270 Psychiatrist or psychologist services,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 0.7,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:390789-2022:TEXT:EN:HTML&src=0,12500000.0,Psychiatrist or psychologist services
57,390788-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Interim Staff Services for FRONTEX,Services,,18 000 000.00 EUR,79620000 Supply services of personnel including temporary staff,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:390788-2022:TEXT:EN:HTML&src=0,18000000.0,Miscellaneous
59,345667-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Frontex Surveillance Aircraft Services for Border and Coast Guard Functions (FSA I) – Lot 3 – Amendment 1,Services,,46 350 000.00 EUR,60440000 Aerial and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:345667-2022:TEXT:EN:HTML&src=0,46350000.0,Transport services
60,290877-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Purchase of Identification Items: Armbands,Supplies,,300 000.00 EUR,18140000 Workwear accessories,Quality criterion - Name: Technical quality / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:290877-2022:TEXT:EN:HTML&src=0,300000.0,Workwear accessories
61,261139-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Crisis Management Consultancy Services,Services,,456 000.00 EUR,79430000 Crisis management services,Quality criterion - Name: Criteria announced in Annex I – Tender Specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:261139-2022:TEXT:EN:HTML&src=0,456000.0,Crisis management services
62,261138-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Urgent Travel Services Related to Car Rentals to FRONTEX,Services,,1 425 000.00 EUR,63000000 Supporting and auxiliary transport services; travel agencies services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:261138-2022:TEXT:EN:HTML&src=0,1425000.0,Travel agencies
64,210828-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Short Notice Chartering of Aircraft for FRONTEX One-way Only Humanitarian Voluntary Return/Repatriation (HVR) Flights,Services,,3 000 000.00 EUR,60423000 Air-charter services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:210828-2022:TEXT:EN:HTML&src=0,3000000.0,Air-charter services
65,175923-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Purchase of Protective Equipment: Bulletproof Vests and Ballistic Helmets,Supplies,,216 900.00 EUR,35810000 Individual equipment,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:175923-2022:TEXT:EN:HTML&src=0,216900.0,Individual equipment
66,136673-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL Polska,Public order and safety,Provision of Urgent Travel Services to FRONTEX,Services,,350 000.00 EUR,"63500000 Travel agency, tour operator and tourist assistance services",Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:136673-2022:TEXT:EN:HTML&src=0,350000.0,Travel agencies
67,126007-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Multiple Framework Contract with Reopening of Competition for Provision of Services for Geographic Information Systems and Geospatial Intelligence/Imagery Intelligence Consultancy – under T&M Conditions,Services,,3 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical evaluation / Weighting: 50,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:126007-2022:TEXT:EN:HTML&src=0,3000000.0,Software
68,094303-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Fuel Cards Services and Associated Services for FRONTEX' Vehicles,Supplies,,4 800 000.00 EUR,30163100 Agency fuel cards,Quality criterion - Name: Coverage of petrol station / Weighting: 30,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:094303-2022:TEXT:EN:HTML&src=0,4800000.0,Transport services
71,080919-2022,2022,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Consultancy Services during the Competitive Dialogue for the Procurement of a Works Contract for the Permanent Premises of FRONTEX,Services,,400 000.00 EUR,71310000 Consultative engineering and construction services,Quality criterion - Name: Project approach and methodology / Weighting: 18,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:080919-2022:TEXT:EN:HTML&src=0,400000.0,Consultative engineering and construction services
72,563114-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Purchase of Training and Environmental Data Update for SARMAP Software,Services,,69 564.00 EUR,72253200 Systems support services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:563114-2020:TEXT:EN:HTML&src=0,69564.0,Software
73,542061-2020,2020,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions — Lot 2,Services,,2 500 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:542061-2020:TEXT:EN:HTML&src=0,2500000.0,Transport services
74,520760-2020,2020,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Language Courses for Frontex Staff,Services,,500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Technical merit / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520760-2020:TEXT:EN:HTML&src=0,500000.0,Miscellaneous
75,492276-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,General public services,Provision of Door-to-door Transportation Services for Frontex Vehicles,Services,,1 000 000.00 EUR,60000000 Transport services (excl. Waste transport),Quality criterion - Name: Methodology and risk management / Weighting: 30,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:492276-2020:TEXT:EN:HTML&src=0,1000000.0,Transport services
76,473318-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,Public order and safety,Swecurity Services in EURTF Catania,Services,,672 067.20 EUR,79710000 Security services,"Quality criterion - Name: Adequacy and quality of the proposed team on the basis of the professional experience and training courses foreseen by applicable legislation, as well as any additional training relevant to the execution of guarding services / Weighting: 30/100",Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:473318-2020:TEXT:EN:HTML&src=0,672067.2,Security services
77,473315-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Remotely Piloted Aircraft Systems (RPAS) for Medium Altitude Long Endurance Maritime Aerial Surveillance,Services,,50 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical offer / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:473315-2020:TEXT:EN:HTML&src=0,50000000.0,Transport services
81,200085-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Short Notice Chartering of Aircraft for Frontex Operational Activities,Services,,10 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:200085-2020:TEXT:EN:HTML&src=0,10000000.0,Travel agencies
82,175550-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Mobile Surveillance Systems for Frontex Operational Activities — Lot 2,Supplies,,12 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:175550-2020:TEXT:EN:HTML&src=0,12000000.0,Surveillance services
