,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,subcontracting_boolean
10,162977-2020,2020,Frontex,Poland,PL POLSKA,General public services,Provision of Medical Services – Pre-recruitment Examination,Services,,1 350 000.00 EUR,85100000 Health services,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:162977-2020:TEXT:EN:HTML&src=0,1350000.0,1,no,The contract is likely to be subcontracted,[' International SOS (Belgium) SPRL'],[' Belgium'],1 350 000.00 EUR,"[' Heyzel Esplanade 1, B007']",[' Brussels'],True
11,127371-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Mobile Surveillance Systems for Frontex Operational Activities,Supplies,,8 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:127371-2020:TEXT:EN:HTML&src=0,8000000.0,12,yes,NA,"[' Dat-Con d.o.o.', ' Opticoelectron Group JSCo']","[' Slovenia', ' Bulgaria']",8 000 000.00 EUR,"[' Cvetlicna ulica 52', ' Industrial Park ‘Opticoelectron’']","[' Polzela', ' Panagyurishte']",False
12,125034-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Mobile Surveillance Systems for Frontex Operational Activities,Supplies,,8 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical score / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:125034-2020:TEXT:EN:HTML&src=0,8000000.0,15,yes,NA,"[' Opticoelectron Group JSCo', ' Dat-Con d.o.o.']","[' Bulgaria', ' Slovenia']",8 000 000.00 EUR,"[' Industrial Park ‘Opticoelectron’', ' Cvetlicna ulica 52']","[' Panagyurishte', ' Polzela']",False
13,086445-2020,2020,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Remote Assessment of English Language Skills,Services,,200 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:086445-2020:TEXT:EN:HTML&src=0,200000.0,1,no,The contract is likely to be subcontracted,[' The Bridge – English Language Centre s.r.o.'],[' Slovakia'],200 000.00 EUR,NA,[' Ladice'],True
14,078764-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Interpretation and Cultural Expertise Services,Services,,25 000 000.00 EUR,79540000 Interpretation services,Quality criterion - Name: Technical quality / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:078764-2020:TEXT:EN:HTML&src=0,25000000.0,8,yes,,"[' Centro Informazione e Educazione Allo Sviluppo Onlus', ' Seprotec Traduccion e Intepretacion Sociedad Limitada', "" ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa"", ' Solten France Societe a Responsabilite Limitee', ' Synergasia Cooperativa Sociale Onlus', ' Pinpoint Corporate Services Ltd']","[' Italy', ' Spain', ' Italy', ' France', ' Italy', ' United Kingdom']",25 000 000.00 EUR,"[' Via Merulana 198', ' Calle Valle De Alcudia, 3 Edi. Fiteni VIII', ' Via La Spezia 6', ' 13 Bis Avenue de La Motte Picquet', ' Via Della Traspontina 15', ' 90 Longacre Covent Garden']","[' Rome', ' Las Rozas (Madrid)', ' Rome', ' Paris', ' Rome', ' London']",False
15,074109-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,General public services,Testing and Evaluation of a New Copernicus Service: Combined Time/Area Imagery,Services,,500 000.00 EUR,73200000 Research and development consultancy services,"Quality criterion - Name: Rationale, work organisation, suitability of technical means / Weighting: 60",Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:074109-2020:TEXT:EN:HTML&src=0,500000.0,8,no,NA,"[' EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.']",[' Portugal'],253 000.00 EUR,[' Rua Calvet de Magalhaes 245'],[' Paco de Arcos'],False
16,050127-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,2 250 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:050127-2020:TEXT:EN:HTML&src=0,2250000.0,3,yes,NA,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",6 750 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
17,611288-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Purchase of Cooled Handheld Thermal Cameras for Border Surveillance,Services,,4 000 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:611288-2019:TEXT:EN:HTML&src=0,4000000.0,4,no,NA,[' Opticoelectron Group JSCo'],[' Bulgaria'],4 000 000.00 EUR,[' Industrial Park Opticoelectron'],[' Panagyurishte'],False
18,611273-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Supply of Heart Beat Detectors (HBD) for Border Checks,Supplies,,400 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:611273-2019:TEXT:EN:HTML&src=0,400000.0,3,yes,NA,"[' Instytut Systemów Bezpieczeństwa Sp. z o.o.', ' ClanTect Ltd']","[' Poland', ' United Kingdom']",400 000.00 EUR,"[' Mesyńska 16', ' University Road, Building 37']","[' Warsaw', ' Southampton']",False
19,599045-2019,2019,European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Satellite Radio Frequency Emitter Detection for Maritime Situational Awareness,Services,,1 507 005.00 EUR,79714000 Surveillance services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:599045-2019:TEXT:EN:HTML&src=0,1507005.0,1,no,NA,"[' Hawkeye 360, Inc.']",[' United States'],1 507 005.00 EUR,"[' 196 Van Buren Street, Suite 450, VA, 20170']",[' Herndon'],False
20,550867-2019,2019,FRONTEX,Poland,PL POLSKA,General public services,Provision of Maintenance Services of Audio-Video Equipment in Frontex Premises,Services,,220 000.00 EUR,"50300000 Repair, maintenance and associated services related to personal computers, office equipment, telecommunications and audio-visual equipment",Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:550867-2019:TEXT:EN:HTML&src=0,220000.0,2,no,NA,[' Brill AV Media Sp z oo'],[' Poland'],220 000.00 EUR,[' Kolejowa 9/11'],[' Warsaw'],False
21,550866-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Passenger Transfer Services by Sea from Mytilini (Locode GRMJT) to Dikili (Locode TRDIK),Services,,1 640 000.00 EUR,60610000 Ferry transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:550866-2019:TEXT:EN:HTML&src=0,1640000.0,2,no,NA,[' Lazaris A. Gomos D. OE'],[' Greece'],1 640 000.00 EUR,[' P. Kountourioti 87'],[' Mitilini'],False
22,514676-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of the Layout and Graphic Design Services,Services,,800 000.00 EUR,79822500 Graphic design services,Quality criterion - Name: Quality and relevance of the proposed portfolio / Weighting: 20,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:514676-2019:TEXT:EN:HTML&src=0,800000.0,14,no,,"[' Softwin SRL', ' Intrasoft International S.A.', ' Pecka Studio s.r.o.']","[' Romania', ' Luxembourg', ' Czechia']",800 000.00 EUR,"[' 10 A Dimitrie Pompeiu, Connect 1 Building, 1st floor, District 2', ' 2b rue Nicolas Bove', ' Na Jerezce 1199/7']","[' Bucharest', ' Luxembourg', ' Praha 4']",False
23,501017-2019,2019,Frontex,Poland,PL POLSKA,General public services,Provision of Interim Staff Services for Frontex,Services,,5 000 000.00 EUR,79620000 Supply services of personnel including temporary staff,Quality criterion - Name: Technical award criteria / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:501017-2019:TEXT:EN:HTML&src=0,5000000.0,6,no,,"[' Kaliszuk sp j staff partners', ' Outworking SA', ' Grafton Recruitment Sp z oo', ' GI Group Sp z oo']","[' Poland', ' Poland', ' Poland', ' Poland']",5 000 000.00 EUR,"[' Finlandzka 5/5', ' Langiewicza 2/10', ' Sienna 39', ' Sobieskiego 11']","[' Warsaw', ' Poznan', ' Warsaw', ' Katowice']",False
24,487436-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Vehicles for Migration Management Support,Supplies,,2 000 000.00 EUR,34114000 Specialist vehicles,Quality criterion - Name: Technical parameters / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:487436-2019:TEXT:EN:HTML&src=0,2000000.0,2,no,NA,[' TEKNE Srl'],[' Italy'],2 000 000.00 EUR,"[' C. da San Matteo, 42']",[' Poggiofiorito'],False
25,442054-2019,2019,European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Framework Contract for Provision of Interpretation Services,Services,,700 000.00 EUR,79540000 Interpretation services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:442054-2019:TEXT:EN:HTML&src=0,700000.0,3,no,NA,[' GTC AMG sp. z o.o.'],[' Poland'],700 000.00 EUR,[' Rolna 155A'],[' Warsaw'],False
26,414489-2019,2019,European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Framework Contract for the Provision of Professional Insurance Brokerage Services,Services,,200 000.00 EUR,66510000 Insurance services - SB01,Quality criterion - Name: Criterion 1: administration of the contract; Criterion 2: service delivery / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:414489-2019:TEXT:EN:HTML&src=0,200000.0,2,no,NA,[' Nord Partner sp. z o.o.'],[' Poland'],200 000.00 EUR,[' Lubicka 16'],[' Torun'],False
27,350772-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Purchase of the Transportation Network Spatial Vector Data along the EU External Borders,Services,,300 000.00 EUR,72300000 Data services,Quality criterion - Name: Quality and completeness of the vector data / Weighting: 45,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:350772-2019:TEXT:EN:HTML&src=0,300000.0,2,no,NA,[' ESRI Polska'],[' Poland'],229 719.63 EUR,[' Bonifraterska 17'],[' Warsaw'],False
28,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,4,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' Airborne Technologies GmbH', ' Fly4Less Kft']","[' Luxembourg', ' United Kingdom', ' Austria', ' Hungary']",2 250 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Viktor Lang Strasse 8', ' Lechner Odon fasor 3']","[' Luxembourg', ' Retford', ' Wiener Neustadt', ' Budapest']",False
29,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",6 050 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
30,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",7 200 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
31,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,3,yes,NA,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",13 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
32,304351-2019,2019,Frontex,Poland,PL POLSKA,General public services,Provision of Travel Desk Services for Frontex,Services,,20 000 000.00 EUR,"63500000 Travel agency, tour operator and tourist assistance services",Quality criterion - Name: Technical award criteria indicated in tender specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:304351-2019:TEXT:EN:HTML&src=0,20000000.0,6,no,NA,[' eTravel SA'],[' Poland'],20 000 000.00 EUR,[' Al. Jerozolimskie 142B'],[' Warsaw'],False
33,176811-2019,2019,FRONTEX,Poland,PL POLSKA,General public services,Framework Contract for Organisation of Events in Poland,Services,,6 000 000.00 EUR,"55000000 Hotel, restaurant and retail trade services",Quality criterion - Name: technical award criteria indicated in tender specifications / Weighting: 0.7,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:176811-2019:TEXT:EN:HTML&src=0,6000000.0,13,no,NA,[' Defacto Sp z oo'],[' Poland'],6 000 000.00 EUR,[' ul. Królowej Marysieńki 46'],[' Warsaw'],False
34,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,5,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' Airborne Technologies GmbH', ' Fly4Less Kft']","[' Luxembourg', ' United Kingdom', ' Austria', ' Hungary']",1 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Viktor Lang Strasse 8', ' Lechner Odon fasor 3']","[' Luxembourg', ' Retford', ' Wiener Neustadt', ' Budapest']",False
35,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,2,yes,,"[' CAE Aviation', ' DEA Aviation Ltd']","[' Luxembourg', ' United Kingdom']",2 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport']","[' Luxembourg', ' Retford']",False
36,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",4 300 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
37,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",5 200 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
38,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",9 000 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
39,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,NA,"[' CAE Aviation', ' DEA Aviation', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",4 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False
40,125845-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Chartering Aircraft and Related Services for Return Operations,Services,,21 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:125845-2019:TEXT:EN:HTML&src=0,21000000.0,2,yes,,"[' Air Charter Service Ltd', ' AS Aircontact']","[' United Kingdom', ' Norway']",3 000 000.00 EUR,"[' 171-185 Ewell Road', ' Karenslyst Alle 49']","[' Surbiton', ' Oslo']",False
41,120796-2019,2019,Frontex,Poland,PL POLSKA,General public services,Returns by Scheduled Flights supported by Frontex,Services,,30 000 000.00 EUR,"63500000 Travel agency, tour operator and tourist assistance services",Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:120796-2019:TEXT:EN:HTML&src=0,30000000.0,1,no,NA,[' eTravel SA'],[' Poland'],30 000 000.00 EUR,[' Al. Jerozolimskie 142B'],[' Warsaw'],False
42,075773-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Vehicles for Migration Management support,Supplies,,2 000 000.00 EUR,34114000 Specialist vehicles,Quality criterion - Name: Technical paramenters of cars / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:075773-2019:TEXT:EN:HTML&src=0,2000000.0,1,no,NA,[' Car Master 2 Sp. z o.o. Sp.k'],[' Poland'],1 000 000.00 EUR,[' Jasnogórska 97'],[' Kraków'],False
43,054218-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,"Provision of Nautical Charts Web Map Service Design, Transition and Operation",Services,,150 000.00 EUR,48320000 Drawing and imaging software package,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:054218-2019:TEXT:EN:HTML&src=0,150000.0,3,no,NA,[' Carmenta AB'],[' Sweden'],109 490.00 EUR,[' Sankt Eriksgatan 5'],[' Gotenborg'],False
44,041988-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the acquisition of SAS software licences,Services,,1 350 000.00 EUR,48463000 Statistical software package,"Quality criterion - Name: Qualifications, expertise, suitability and professional competences of Contractor, the clarity and conciseness of the overall technical proposal and understanding of the objectives. / Weighting: 60",Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:041988-2019:TEXT:EN:HTML&src=0,1350000.0,1,no,NA,[' SAS Institute Polska Sp. z o.o.'],[' Poland'],1 350 000.00 EUR,[' ul. Gdańska 27/31'],[' Warszawa'],False
